dataset,method,prefix,corrected_ate_rmse_m,loop_detected
fr1_xyz,ICP/RANSAC,icp_ransac,0.030420,yes
fr1_xyz,ICP/LMedS,icp_lmeds,0.030422,yes
fr1_xyz,GICP/RANSAC,gicp_ransac,0.031854,yes
fr1_xyz,GICP/LMedS,gicp_lmeds,0.031842,yes
fr1_room,ICP/RANSAC,icp_ransac,0.122352,yes
fr1_room,ICP/LMedS,icp_lmeds,0.122486,yes
fr1_room,GICP/RANSAC,gicp_ransac,0.102246,yes
fr1_room,GICP/LMedS,gicp_lmeds,0.102094,yes
fr1_desk2,ICP/RANSAC,icp_ransac,0.099930,yes
fr1_desk2,ICP/LMedS,icp_lmeds,0.106528,yes
fr1_desk2,GICP/RANSAC,gicp_ransac,0.067751,yes
fr1_desk2,GICP/LMedS,gicp_lmeds,0.063425,yes
fr1_360,ICP/RANSAC,icp_ransac,0.100845,yes
fr1_360,ICP/LMedS,icp_lmeds,0.100779,yes
fr1_360,GICP/RANSAC,gicp_ransac,0.163615,yes
fr1_360,GICP/LMedS,gicp_lmeds,0.163949,yes
fr1_floor,ICP/RANSAC,icp_ransac,0.281494,yes
fr1_floor,ICP/LMedS,icp_lmeds,0.281756,yes
fr1_floor,GICP/RANSAC,gicp_ransac,0.408969,yes
fr1_floor,GICP/LMedS,gicp_lmeds,0.409957,yes
tum_loop,ICP/RANSAC,icp_ransac,1.102761,yes
tum_loop,ICP/LMedS,icp_lmeds,1.022979,yes
tum_loop,GICP/RANSAC,gicp_ransac,1.119049,yes
tum_loop,GICP/LMedS,gicp_lmeds,1.038439,yes
tum_rgbd,ICP/RANSAC,icp_ransac,0.045536,yes
tum_rgbd,ICP/LMedS,icp_lmeds,0.045714,yes
tum_rgbd,GICP/RANSAC,gicp_ransac,0.052386,yes
tum_rgbd,GICP/LMedS,gicp_lmeds,0.050750,yes
fr2_desk,ICP/RANSAC,icp_ransac,0.283955,yes
fr2_desk,ICP/LMedS,icp_lmeds,0.284814,yes
fr2_desk,GICP/RANSAC,gicp_ransac,0.224272,yes
fr2_desk,GICP/LMedS,gicp_lmeds,0.225843,yes
